Iteration	Posterior	Likelihood	Prior	clock_bg	er_base	ldd
0	-1264.58	-215.9912	-1048.589	0.01	0.01	0.1
10	-185.6246	-186.6787	1.054031	0.005357267	0.9094884	0.2803315
20	-185.2834	-183.4818	-1.801599	0.01293203	1.256547	0.2541943
30	-185.446	-182.6122	-2.833781	0.01131735	1.300177	0.2651367
40	-184.7668	-186.2067	1.439912	0.007221116	1.193895	0.1897747
50	-183.7937	-185.9989	2.205236	0.007192375	1.089425	0.2146261
60	-185.2911	-185.1714	-0.1197878	0.01435161	1.167551	0.2434265
70	-186.8663	-188.1615	1.295236	0.01725335	1.24089	0.1190727
80	-184.5372	-184.2331	-0.304139	0.01241898	1.244358	0.2036169
90	-186.968	-184.3294	-2.638647	0.004694067	1.113366	0.399206
100	-184.5225	-183.6828	-0.8396395	0.01025519	1.260445	0.2213128
110	-185.2782	-187.5663	2.288076	0.01481658	1.153852	0.1461952
120	-184.3009	-186.232	1.931098	0.01009995	1.007886	0.2319088
130	-187.0289	-189.9321	2.903154	0.01801389	1.141037	0.115858
140	-186.0123	-190.359	4.346698	0.007501265	1.042737	0.1326344
150	-184.7245	-184.8301	0.1056127	0.01423749	1.206983	0.2087147
160	-183.8987	-185.0463	1.147654	0.006571863	1.067418	0.268679
170	-184.0984	-185.2132	1.114734	0.008473929	1.025145	0.2695115
180	-186.9354	-187.166	0.2306306	0.02070567	1.192385	0.19759
190	-184.7875	-185.5653	0.7778262	0.005666937	0.9831298	0.3007112
200	-184.5619	-186.1663	1.604383	0.01200751	1.053866	0.2299416
210	-184.6955	-186.379	1.683466	0.006488639	1.167077	0.2016427
220	-186.8392	-184.2755	-2.563742	0.004701544	1.142645	0.3854088
230	-184.299	-185.2446	0.9455689	0.008305148	1.010151	0.2786987
240	-184.1009	-185.0025	0.9015819	0.006684688	1.030251	0.2860556
250	-184.3508	-187.7287	3.37793	0.009145498	1.039809	0.168848
260	-184.9185	-188.2785	3.360068	0.01165934	1.06486	0.1514855
270	-187.2947	-182.2024	-5.092347	0.007285195	1.272424	0.3826667
280	-185.7006	-187.1691	1.468551	0.007084061	1.221513	0.1687405
290	-184.7539	-185.3433	0.5894325	0.0127598	1.233585	0.1720702
300	-184.1314	-184.6354	0.5039306	0.007393952	1.050273	0.2933292
310	-184.1928	-186.1919	1.999132	0.01223442	1.099211	0.1967405
320	-184.5307	-186.4639	1.933218	0.01247622	1.160657	0.1659491
330	-184.0151	-185.5876	1.572489	0.007245252	0.9980364	0.260472
340	-183.825	-185.2136	1.388592	0.01013686	1.148186	0.2064349
350	-185.8563	-184.6021	-1.254202	0.01741537	1.306544	0.1754179
360	-185.8127	-183.0797	-2.732955	0.009245874	1.355398	0.2189319
370	-187.329	-181.8253	-5.503703	0.006992669	1.347107	0.3430798
380	-184.2198	-185.5773	1.357538	0.006860497	0.9846079	0.2713709
390	-184.2811	-187.5912	3.310101	0.008558859	1.006696	0.1802817
400	-184.1091	-185.5786	1.469453	0.01002886	1.04522	0.2449312
410	-184.9072	-185.8356	0.9283332	0.01455034	1.213861	0.166655
420	-183.7822	-184.5904	0.8082478	0.009047745	1.112267	0.2530702
430	-185.0891	-185.6631	0.5740381	0.01423081	1.240866	0.1618117
440	-183.7974	-185.2817	1.484347	0.007062367	1.116943	0.2336307
450	-183.871	-185.7034	1.832364	0.006647727	1.02862	0.2501747
460	-184.1306	-184.7856	0.65497	0.006543203	1.149016	0.2542638
470	-186.5345	-184.5248	-2.009745	0.01218294	1.3709	0.1591935
480	-185.4267	-186.4232	0.9965205	0.01692673	1.158008	0.1954923
490	-185.0022	-184.5625	-0.4397785	0.007059323	1.022049	0.334501
500	-184.4063	-185.986	1.579645	0.01314245	1.160156	0.1797313
510	-185.9152	-186.5083	0.5930909	0.0120387	1.018896	0.2769984
520	-184.9488	-188.5015	3.552736	0.009950865	1.073423	0.1468793
530	-184.2795	-184.4832	0.2037051	0.01005395	1.226999	0.2045469
540	-187.2682	-187.9841	0.7159214	0.01184653	0.9175693	0.2652419
550	-185.2973	-186.1569	0.859528	0.01103435	1.01082	0.2709664
560	-186.7754	-181.5229	-5.252528	0.01074963	1.385053	0.2850761
570	-184.6181	-187.7511	3.132996	0.00781499	0.9535901	0.1907533
580	-184.9069	-183.0397	-1.867208	0.01112425	1.283978	0.2408041
590	-184.6856	-184.3686	-0.3170141	0.01176225	1.262348	0.1916023
600	-185.2619	-182.7892	-2.472784	0.01077802	1.325263	0.2305136
610	-185.0051	-185.8422	0.8371207	0.01509329	1.149206	0.2123683
620	-183.8036	-184.9771	1.173464	0.008324051	1.156293	0.2191909
630	-184.1641	-185.9062	1.74206	0.01154285	1.153852	0.1821603
640	-185.6194	-188.2821	2.662643	0.01461785	1.143513	0.1357883
650	-184.4268	-183.873	-0.5537914	0.01091044	1.192159	0.2567407
660	-185.2866	-187.012	1.725333	0.01451815	1.192456	0.1465948
670	-185.3057	-186.3421	1.036423	0.01041412	0.9791919	0.2675455
680	-184.2381	-184.6138	0.375679	0.0105123	1.120755	0.2605124
690	-185.055	-186.4963	1.441382	0.005753664	0.9297634	0.2684444
700	-184.9689	-187.8546	2.885705	0.006748479	1.12602	0.1710242
710	-183.7703	-185.6398	1.869538	0.007227436	1.026824	0.2456136
720	-184.0346	-186.1423	2.107711	0.009528765	1.015095	0.2262404
730	-184.6684	-187.534	2.865608	0.006166417	0.9583909	0.2130329
740	-184.2658	-185.3198	1.054024	0.01169543	1.192968	0.1862149
750	-184.371	-185.2237	0.8527747	0.006885588	1.185427	0.2225656
760	-183.6816	-185.2965	1.614912	0.008668485	1.061651	0.2407083
770	-184.8832	-184.3832	-0.4999678	0.005624512	1.130399	0.313233
780	-183.857	-184.7113	0.8543137	0.009088255	1.092731	0.2589908
790	-186.8604	-185.0392	-1.82125	0.00689065	0.9605626	0.3835698
800	-185.2296	-186.059	0.8293886	0.004835708	1.016846	0.3028316
810	-184.8815	-185.349	0.4675347	0.01117523	1.073275	0.2727211
